Тип;Тип кузова;Марка;Топливо;КПП;Цвет
легковой автомобиль;седан;Audi;бензин;механическая КП;бежевый
внедорожник;хетчбэк;Aston Martin;дизель;автомат;бежевый
гоночные машины;универсал;Daewoo;бензин + газ (LPG/жидкий);полуавтомат;бежевый
гоночные машины;объемный универсал;Datsun;дизель;механическая КП;белый
легковой автомобиль;купе;Honda;бензин + газ (LPG/жидкий);автомат;белый
внедорожник;кабриолет;Zorzi;бензин;полуавтомат;белый
внедорожник;купе;Daewoo;дизель + газ (LNG/сжиженный природный);механическая КП;желтый
гоночные машины;кабриолет;Audi;подключаемый гибрид (бензин / электричество);автомат;желтый
легковой автомобиль;объемный универсал;Aston Martin;подключаемый гибрид (дизель / электричество);полуавтомат;желтый
внедорожник;универсал;Honda;подключаемый гибрид (бензин / электричество);механическая КП;зеленый
легковой автомобиль;пикап;Datsun;дизель + газ (LNG/сжиженный природный);автомат;зеленый
гоночные машины;хетчбэк;Zorzi;подключаемый гибрид (дизель / электричество);механическая КП;коричневый
гоночные машины;седан;Honda;дизель + газ (LNG/сжиженный природный);полуавтомат;красный
легковой автомобиль;лимузин;Daewoo;бензин;автомат;коричневый
внедорожник;пикап;Audi;дизель;полуавтомат;коричневый
внедорожник;лимузин;Aston Martin;бензин + газ (LPG/жидкий);механическая КП;красный
легковой автомобиль;универсал;Zorzi;дизель;автомат;красный
гоночные машины;купе;Aston Martin;бензин;полуавтомат;зеленый
внедорожник;внедорожник;Datsun;подключаемый гибрид (дизель / электричество);автомат;бежевый
легковой автомобиль;хетчбэк;Datsun;подключаемый гибрид (бензин / электричество);полуавтомат;красный
гоночные машины;пикап;Zorzi;подключаемый гибрид (бензин / электричество);механическая КП;бежевый
легковой автомобиль;внедорожник;Audi;дизель + газ (LNG/сжиженный природный);механическая КП;белый
внедорожник;седан;Aston Martin;подключаемый гибрид (бензин / электричество);автомат;белый
гоночные машины;внедорожник;Honda;бензин;полуавтомат;желтый
легковой автомобиль;кабриолет;Daewoo;дизель;механическая КП;зеленый
внедорожник;объемный универсал;Audi;бензин + газ (LPG/жидкий);автомат;зеленый
гоночные машины;лимузин;Honda;дизель;полуавтомат;бежевый
легковой автомобиль;пикап;Daewoo;подключаемый гибрид (дизель / электричество);механическая КП;белый
легковой автомобиль;седан;Datsun;бензин + газ (LPG/жидкий);механическая КП;желтый
легковой автомобиль;универсал;Aston Martin;дизель + газ (LNG/сжиженный природный);механическая КП;коричневый
легковой автомобиль;купе;Audi;подключаемый гибрид (дизель / электричество);механическая КП;красный
легковой автомобиль;объемный универсал;Zorzi;дизель + газ (LNG/сжиженный природный);механическая КП;бежевый
легковой автомобиль;внедорожник;Zorzi;бензин + газ (LPG/жидкий);механическая КП;зеленый
легковой автомобиль;кабриолет;Datsun;бензин + газ (LPG/жидкий);механическая КП;коричневый
легковой автомобиль;объемный универсал;Daewoo;подключаемый гибрид (бензин / электричество);механическая КП;коричневый
легковой автомобиль;кабриолет;Honda;подключаемый гибрид (дизель / электричество);механическая КП;бежевый
легковой автомобиль;универсал;Datsun;бензин;механическая КП;белый
легковой автомобиль;седан;Zorzi;дизель;механическая КП;желтый
легковой автомобиль;лимузин;Audi;подключаемый гибрид (дизель / электричество);механическая КП;зеленый
легковой автомобиль;пикап;Aston Martin;бензин;механическая КП;красный
легковой автомобиль;внедорожник;Daewoo;дизель;механическая КП;красный
легковой автомобиль;купе;Datsun;дизель;механическая КП;бежевый
легковой автомобиль;хетчбэк;Audi;бензин;механическая КП;белый
легковой автомобиль;лимузин;Datsun;дизель + газ (LNG/сжиженный природный);механическая КП;белый
легковой автомобиль;хетчбэк;Daewoo;бензин + газ (LPG/жидкий);механическая КП;желтый
легковой автомобиль;пикап;Honda;бензин + газ (LPG/жидкий);механическая КП;желтый
легковой автомобиль;лимузин;Zorzi;подключаемый гибрид (бензин / электричество);механическая КП;желтый
легковой автомобиль;универсал;Audi;подключаемый гибрид (дизель / электричество);механическая КП;желтый
легковой автомобиль;хетчбэк;Honda;дизель + газ (LNG/сжиженный природный);механическая КП;зеленый
легковой автомобиль;седан;Daewoo;подключаемый гибрид (дизель / электричество);механическая КП;зеленый
легковой автомобиль;объемный универсал;Honda;бензин;механическая КП;коричневый
легковой автомобиль;внедорожник;Aston Martin;подключаемый гибрид (бензин / электричество);механическая КП;коричневый
легковой автомобиль;купе;Zorzi;подключаемый гибрид (бензин / электричество);механическая КП;коричневый
легковой автомобиль;кабриолет;Aston Martin;дизель + газ (LNG/сжиженный природный);механическая КП;красный
легковой автомобиль;седан;Audi;бензин;механическая КП;коричневый
легковой автомобиль;объемный универсал;Audi;бензин;механическая КП;красный
